year;month;produced_material;produced_material_production_type;produced_material_release_type;produced_material_quantity;component_material;component_material_production_type;component_material_release_type;component_material_quantity;plant_id
2024;5;50000;8002;PROD;750;80070;8007;PROD;937;RLT_10
2024;5;50000;8002;PROD;750;90000;;ADD;51;RLT_10
2024;5;50000;8002;PROD;750;90001;;ADD;21;RLT_10
2024;5;80070;8007;PROD;929;80010;8001;PROD;3440;RLT_10
2024;5;80070;8007;PROD;929;90002;;ADD;29;RLT_10
2024;5;80070;8007;PROD;929;90003;;ADD;10;RLT_10
2024;5;80010;8001;PROD;1742;80000;8000;PROD;2073;RLT_10
2024;5;80010;8001;PROD;1742;90004;;ADD;109;RLT_10
2024;5;80000;8000;PROD;2077;70000;;RM;2714;RLT_10
2024;5;80000;8000;PROD;2077;90005;;ADD;63;RLT_10
2024;6;10000;8002;FIN;906;50000;8002;PROD;906;RLT_10
2024;6;50000;8002;PROD;826;80070;8007;PROD;993;RLT_10
2024;6;50000;8002;PROD;826;90000;;ADD;52;RLT_10
2024;6;50000;8002;PROD;826;90001;;ADD;20;RLT_10
2024;6;80070;8007;PROD;905;80010;8001;PROD;3576;RLT_10
2024;6;80070;8007;PROD;905;90002;;ADD;32;RLT_10
2024;6;80070;8007;PROD;905;90003;;ADD;10;RLT_10
2024;6;80010;8001;PROD;1730;80000;8000;PROD;1910;RLT_10
2024;6;80010;8001;PROD;1730;90004;;ADD;98;RLT_10
2024;6;80000;8000;PROD;1830;70000;;RM;2344;RLT_10
2024;6;80000;8000;PROD;1830;90005;;ADD;71;RLT_10
2024;7;10000;8002;FIN;983;50000;8002;PROD;983;RLT_10
2024;7;50000;8002;PROD;796;80070;8007;PROD;972;RLT_10
2024;7;50000;8002;PROD;796;90000;;ADD;49;RLT_10
2024;7;50000;8002;PROD;796;90001;;ADD;19;RLT_10
2024;7;80070;8007;PROD;900;80010;8001;PROD;3951;RLT_10
2024;7;80070;8007;PROD;900;90002;;ADD;29;RLT_10
2024;7;80070;8007;PROD;900;90003;;ADD;10;RLT_10
2024;7;80010;8001;PROD;1963;80000;8000;PROD;1974;RLT_10
2024;7;80010;8001;PROD;1963;90004;;ADD;109;RLT_10
2024;7;80000;8000;PROD;2157;70000;;RM;2451;RLT_10
2024;7;80000;8000;PROD;2157;90005;;ADD;69;RLT_10
2024;8;10000;8002;FIN;913;50000;8002;PROD;913;RLT_10
2024;8;50000;8002;PROD;832;80070;8007;PROD;876;RLT_10
2024;8;50000;8002;PROD;832;90000;;ADD;51;RLT_10
2024;8;50000;8002;PROD;832;90001;;ADD;19;RLT_10
2024;8;80070;8007;PROD;821;80010;8001;PROD;3059;RLT_10
2024;8;80070;8007;PROD;821;90002;;ADD;27;RLT_10
2024;8;80070;8007;PROD;821;90003;;ADD;10;RLT_10
2024;8;80010;8001;PROD;1625;80000;8000;PROD;2198;RLT_10
2024;8;80010;8001;PROD;1625;90004;;ADD;109;RLT_10
2024;8;80000;8000;PROD;2041;70000;;RM;2420;RLT_10
2024;8;80000;8000;PROD;2041;90005;;ADD;68;RLT_10
2024;9;10000;8002;FIN;1006;50000;8002;PROD;1006;RLT_10
2024;9;50000;8002;PROD;834;80070;8007;PROD;835;RLT_10
2024;9;50000;8002;PROD;834;90000;;ADD;48;RLT_10
2024;9;50000;8002;PROD;834;90001;;ADD;19;RLT_10
2024;9;80070;8007;PROD;870;80010;8001;PROD;3171;RLT_10
2024;9;80070;8007;PROD;870;90002;;ADD;27;RLT_10
2024;9;80070;8007;PROD;870;90003;;ADD;10;RLT_10
2024;9;80010;8001;PROD;1706;80000;8000;PROD;1740;RLT_10
2024;9;80010;8001;PROD;1706;90004;;ADD;109;RLT_10
2024;9;80000;8000;PROD;1846;70000;;RM;2182;RLT_10
2024;9;80000;8000;PROD;1846;90005;;ADD;71;RLT_10
2024;10;10000;8002;FIN;960;50000;8002;PROD;960;RLT_10
2024;10;50000;8002;PROD;810;80070;8007;PROD;933;RLT_10
2024;10;50000;8002;PROD;810;90000;;ADD;55;RLT_10
2024;10;50000;8002;PROD;810;90001;;ADD;20;RLT_10
2024;10;80070;8007;PROD;894;80010;8001;PROD;3889;RLT_10
2024;10;80070;8007;PROD;894;90002;;ADD;31;RLT_10
2024;10;80070;8007;PROD;894;90003;;ADD;11;RLT_10
2024;10;80010;8001;PROD;1803;80000;8000;PROD;1814;RLT_10
2024;10;80010;8001;PROD;1803;90004;;ADD;102;RLT_10
2024;10;80000;8000;PROD;1845;70000;;RM;2545;RLT_10
2024;10;80000;8000;PROD;1845;90005;;ADD;70;RLT_10
2024;11;10000;8002;FIN;955;50000;8002;PROD;955;RLT_10
2024;11;50000;8002;PROD;733;80070;8007;PROD;992;RLT_10
2024;11;50000;8002;PROD;733;90000;;ADD;48;RLT_10
2024;11;50000;8002;PROD;733;90001;;ADD;21;RLT_10
2024;11;80070;8007;PROD;924;80010;8001;PROD;3179;RLT_10
2024;11;80070;8007;PROD;924;90002;;ADD;28;RLT_10
2024;11;80070;8007;PROD;924;90003;;ADD;10;RLT_10
2024;11;80010;8001;PROD;1705;80000;8000;PROD;2232;RLT_10
2024;11;80010;8001;PROD;1705;90004;;ADD;109;RLT_10
2024;11;80000;8000;PROD;2109;70000;;RM;2643;RLT_10
2024;11;80000;8000;PROD;2109;90005;;ADD;66;RLT_10
2024;12;10000;8002;FIN;1057;50000;8002;PROD;1057;RLT_10
2024;12;50000;8002;PROD;755;80070;8007;PROD;1007;RLT_10
2024;12;50000;8002;PROD;755;90000;;ADD;53;RLT_10
2024;12;50000;8002;PROD;755;90001;;ADD;20;RLT_10
2024;12;80070;8007;PROD;987;80010;8001;PROD;3444;RLT_10
2024;12;80070;8007;PROD;987;90002;;ADD;27;RLT_10
2024;12;80070;8007;PROD;987;90003;;ADD;9;RLT_10
2024;12;80010;8001;PROD;1649;80000;8000;PROD;1684;RLT_10
2024;12;80010;8001;PROD;1649;90004;;ADD;98;RLT_10
2024;12;80000;8000;PROD;1807;70000;;RM;2556;RLT_10
2024;12;80000;8000;PROD;1807;90005;;ADD;64;RLT_10
2024;1;10001;8002;FIN;975;50001;8002;PROD;975;RLT_10
2024;1;50001;8002;PROD;739;80071;8007;PROD;808;RLT_10
2024;1;50001;8002;PROD;739;90005;;ADD;49;RLT_10
2024;1;50001;8002;PROD;739;90006;;ADD;21;RLT_10
2024;1;80071;8007;PROD;897;80011;8001;PROD;3541;RLT_10
2024;1;80071;8007;PROD;897;90007;;ADD;29;RLT_10
2024;1;80071;8007;PROD;897;90008;;ADD;11;RLT_10
2024;1;80011;8001;PROD;1670;80001;8000;PROD;1909;RLT_10
2024;1;80011;8001;PROD;1670;90009;;ADD;96;RLT_10
2024;1;80001;8000;PROD;1904;70001;;RM;2803;RLT_10
2024;1;80001;8000;PROD;1904;90010;;ADD;72;RLT_10
2024;2;10001;8002;FIN;1050;50001;8002;PROD;1050;RLT_10
2024;2;50001;8002;PROD;811;80071;8007;PROD;879;RLT_10
2024;2;50001;8002;PROD;811;90005;;ADD;48;RLT_10
2024;2;50001;8002;PROD;811;90006;;ADD;20;RLT_10
2024;2;80071;8007;PROD;875;80011;8001;PROD;3021;RLT_10
2024;2;80071;8007;PROD;875;90007;;ADD;29;RLT_10
2024;2;80071;8007;PROD;875;90008;;ADD;11;RLT_10
2024;2;80011;8001;PROD;1635;80001;8000;PROD;2130;RLT_10
2024;2;80011;8001;PROD;1635;90009;;ADD;107;RLT_10
2024;2;80001;8000;PROD;2144;70001;;RM;2538;RLT_10
2024;2;80001;8000;PROD;2144;90010;;ADD;73;RLT_10
2024;3;10001;8002;FIN;955;50001;8002;PROD;955;RLT_10
2024;3;50001;8002;PROD;795;80071;8007;PROD;818;RLT_10
2024;3;50001;8002;PROD;795;90005;;ADD;46;RLT_10
2024;3;50001;8002;PROD;795;90006;;ADD;20;RLT_10
2024;3;80071;8007;PROD;894;80011;8001;PROD;3359;RLT_10
2024;3;80071;8007;PROD;894;90007;;ADD;33;RLT_10
2024;3;80071;8007;PROD;894;90008;;ADD;9;RLT_10
2024;3;80011;8001;PROD;1708;80001;8000;PROD;2035;RLT_10
2024;3;80011;8001;PROD;1708;90009;;ADD;91;RLT_10
2024;3;80001;8000;PROD;1854;70001;;RM;2677;RLT_10
2024;3;80001;8000;PROD;1854;90010;;ADD;68;RLT_10
2024;4;10001;8002;FIN;1070;50001;8002;PROD;1070;RLT_10
2024;4;50001;8002;PROD;805;80071;8007;PROD;927;RLT_10
2024;4;50001;8002;PROD;805;90005;;ADD;53;RLT_10
2024;4;50001;8002;PROD;805;90006;;ADD;20;RLT_10
2024;4;80071;8007;PROD;848;80011;8001;PROD;3447;RLT_10
2024;4;80071;8007;PROD;848;90007;;ADD;30;RLT_10
2024;4;80071;8007;PROD;848;90008;;ADD;10;RLT_10
2024;4;80011;8001;PROD;1862;80001;8000;PROD;2031;RLT_10
2024;4;80011;8001;PROD;1862;90009;;ADD;110;RLT_10
2024;4;80001;8000;PROD;2075;70001;;RM;2616;RLT_10
2024;4;80001;8000;PROD;2075;90010;;ADD;65;RLT_10
2024;5;10001;8002;FIN;954;50001;8002;PROD;954;RLT_10
2024;5;50001;8002;PROD;757;80071;8007;PROD;881;RLT_10
2024;5;50001;8002;PROD;757;90005;;ADD;50;RLT_10
2024;5;50001;8002;PROD;757;90006;;ADD;19;RLT_10
2024;5;80071;8007;PROD;857;80011;8001;PROD;3270;RLT_10
2024;5;80071;8007;PROD;857;90007;;ADD;32;RLT_10
2024;5;80071;8007;PROD;857;90008;;ADD;11;RLT_10
2024;5;80011;8001;PROD;1630;80001;8000;PROD;2105;RLT_10
2024;5;80011;8001;PROD;1630;90009;;ADD;109;RLT_10
2024;5;80001;8000;PROD;2166;70001;;RM;2638;RLT_10
2024;5;80001;8000;PROD;2166;90010;;ADD;74;RLT_10
2024;6;10001;8002;FIN;901;50001;8002;PROD;901;RLT_10
2024;6;50001;8002;PROD;764;80071;8007;PROD;984;RLT_10
2024;6;50001;8002;PROD;764;90005;;ADD;45;RLT_10
2024;6;50001;8002;PROD;764;90006;;ADD;20;RLT_10
2024;6;80071;8007;PROD;988;80011;8001;PROD;3803;RLT_10
2024;6;80071;8007;PROD;988;90007;;ADD;32;RLT_10
2024;6;80071;8007;PROD;988;90008;;ADD;11;RLT_10
2024;6;80011;8001;PROD;1772;80001;8000;PROD;2364;RLT_10
2024;6;80011;8001;PROD;1772;90009;;ADD;98;RLT_10
2024;6;80001;8000;PROD;2185;70001;;RM;2117;RLT_10
2024;6;80001;8000;PROD;2185;90010;;ADD;68;RLT_10
2024;7;10001;8002;FIN;1054;50001;8002;PROD;1054;RLT_10
2024;7;50001;8002;PROD;764;80071;8007;PROD;803;RLT_10
2024;7;50001;8002;PROD;764;90005;;ADD;49;RLT_10
2024;7;50001;8002;PROD;764;90006;;ADD;20;RLT_10
2024;7;80071;8007;PROD;870;80011;8001;PROD;3842;RLT_10
2024;7;80071;8007;PROD;870;90007;;ADD;32;RLT_10
2024;7;80071;8007;PROD;870;90008;;ADD;10;RLT_10
2024;7;80011;8001;PROD;1773;80001;8000;PROD;2033;RLT_10
2024;7;80011;8001;PROD;1773;90009;;ADD;94;RLT_10
2024;7;80001;8000;PROD;1944;70001;;RM;2641;RLT_10
2024;7;80001;8000;PROD;1944;90010;;ADD;75;RLT_10
2024;8;10001;8002;FIN;1044;50001;8002;PROD;1044;RLT_10
2024;8;50001;8002;PROD;747;80071;8007;PROD;942;RLT_10
2024;8;50001;8002;PROD;747;90005;;ADD;47;RLT_10
2024;8;50001;8002;PROD;747;90006;;ADD;19;RLT_10
2024;8;80071;8007;PROD;977;80011;8001;PROD;3835;RLT_10
2024;8;80071;8007;PROD;977;90007;;ADD;29;RLT_10
2024;8;80071;8007;PROD;977;90008;;ADD;10;RLT_10
2024;8;80011;8001;PROD;1922;80001;8000;PROD;1928;RLT_10
2024;8;80011;8001;PROD;1922;90009;;ADD;99;RLT_10
2024;8;80001;8000;PROD;1931;70001;;RM;2797;RLT_10
2024;8;80001;8000;PROD;1931;90010;;ADD;68;RLT_10
2024;9;10001;8002;FIN;941;50001;8002;PROD;941;RLT_10
2024;9;50001;8002;PROD;861;80071;8007;PROD;1018;RLT_10
2024;9;50001;8002;PROD;861;90005;;ADD;47;RLT_10
2024;9;50001;8002;PROD;861;90006;;ADD;21;RLT_10
2024;9;80071;8007;PROD;958;80011;8001;PROD;3219;RLT_10
2024;9;80071;8007;PROD;958;90007;;ADD;32;RLT_10
2024;9;80071;8007;PROD;958;90008;;ADD;10;RLT_10
2024;9;80011;8001;PROD;1707;80001;8000;PROD;2108;RLT_10
2024;9;80011;8001;PROD;1707;90009;;ADD;101;RLT_10
2024;9;80001;8000;PROD;1950;70001;;RM;2429;RLT_10
2024;9;80001;8000;PROD;1950;90010;;ADD;66;RLT_10
2024;10;10001;8002;FIN;1049;50001;8002;PROD;1049;RLT_10
2024;10;50001;8002;PROD;810;80071;8007;PROD;876;RLT_10
2024;10;50001;8002;PROD;810;90005;;ADD;51;RLT_10
2024;10;50001;8002;PROD;810;90006;;ADD;19;RLT_10
2024;10;80071;8007;PROD;811;80011;8001;PROD;3890;RLT_10
2024;10;80071;8007;PROD;811;90007;;ADD;30;RLT_10
2024;10;80071;8007;PROD;811;90008;;ADD;10;RLT_10
2024;10;80011;8001;PROD;1895;80001;8000;PROD;2103;RLT_10
2024;10;80011;8001;PROD;1895;90009;;ADD;107;RLT_10
2024;10;80001;8000;PROD;2045;70001;;RM;2287;RLT_10
2024;10;80001;8000;PROD;2045;90010;;ADD;67;RLT_10
2024;11;10001;8002;FIN;949;50001;8002;PROD;949;RLT_10
2024;11;50001;8002;PROD;840;80071;8007;PROD;966;RLT_10
2024;11;50001;8002;PROD;840;90005;;ADD;49;RLT_10
2024;11;50001;8002;PROD;840;90006;;ADD;20;RLT_10
2024;11;80071;8007;PROD;927;80011;8001;PROD;3601;RLT_10
2024;11;80071;8007;PROD;927;90007;;ADD;30;RLT_10
2024;11;80071;8007;PROD;927;90008;;ADD;10;RLT_10
2024;11;80011;8001;PROD;1946;80001;8000;PROD;1938;RLT_10
2024;11;80011;8001;PROD;1946;90009;;ADD;100;RLT_10
2024;11;80001;8000;PROD;1859;70001;;RM;2558;RLT_10
2024;11;80001;8000;PROD;1859;90010;;ADD;69;RLT_10
2024;12;10001;8002;FIN;1081;50001;8002;PROD;1081;RLT_10
2024;12;50001;8002;PROD;794;80071;8007;PROD;857;RLT_10
2024;12;50001;8002;PROD;794;90005;;ADD;51;RLT_10
2024;12;50001;8002;PROD;794;90006;;ADD;21;RLT_10
2024;12;80071;8007;PROD;849;80011;8001;PROD;3822;RLT_10
2024;12;80071;8007;PROD;849;90007;;ADD;27;RLT_10
2024;12;80071;8007;PROD;849;90008;;ADD;9;RLT_10
2024;12;80011;8001;PROD;1780;80001;8000;PROD;2046;RLT_10
2024;12;80011;8001;PROD;1780;90009;;ADD;102;RLT_10
2024;12;80001;8000;PROD;2181;70001;;RM;2523;RLT_10
2024;12;80001;8000;PROD;2181;90010;;ADD;65;RLT_10
2024;1;10002;8002;FIN;1032;50002;8002;PROD;1032;RLT_14
2024;1;50002;8002;PROD;790;80072;8007;PROD;928;RLT_14
2024;1;50002;8002;PROD;790;90010;;ADD;52;RLT_14
2024;1;50002;8002;PROD;790;90011;;ADD;18;RLT_14
2024;1;80072;8007;PROD;868;80012;8001;PROD;3471;RLT_14
2024;1;80072;8007;PROD;868;90012;;ADD;32;RLT_14
2024;1;80072;8007;PROD;868;90013;;ADD;9;RLT_14
2024;1;80012;8001;PROD;1825;80002;8000;PROD;2301;RLT_14
2024;1;80012;8001;PROD;1825;90014;;ADD;92;RLT_14
2024;1;80002;8000;PROD;2136;70002;;RM;2860;RLT_14
2024;1;80002;8000;PROD;2136;90015;;ADD;70;RLT_14
2024;2;10002;8002;FIN;1084;50002;8002;PROD;1084;RLT_14
2024;2;50002;8002;PROD;873;80072;8007;PROD;873;RLT_14
2024;2;50002;8002;PROD;873;90010;;ADD;52;RLT_14
2024;2;50002;8002;PROD;873;90011;;ADD;20;RLT_14
2024;2;80072;8007;PROD;815;80012;8001;PROD;3812;RLT_14
2024;2;80072;8007;PROD;815;90012;;ADD;29;RLT_14
2024;2;80072;8007;PROD;815;90013;;ADD;11;RLT_14
2024;2;80012;8001;PROD;1820;80002;8000;PROD;1828;RLT_14
2024;2;80012;8001;PROD;1820;90014;;ADD;99;RLT_14
2024;2;80002;8000;PROD;1825;70002;;RM;2175;RLT_14
2024;2;80002;8000;PROD;1825;90015;;ADD;74;RLT_14
2024;3;10002;8002;FIN;1005;50002;8002;PROD;1005;RLT_14
2024;3;50002;8002;PROD;864;80072;8007;PROD;865;RLT_14
2024;3;50002;8002;PROD;864;90010;;ADD;49;RLT_14
2024;3;50002;8002;PROD;864;90011;;ADD;20;RLT_14
2024;3;80072;8007;PROD;896;80012;8001;PROD;3058;RLT_14
2024;3;80072;8007;PROD;896;90012;;ADD;28;RLT_14
2024;3;80072;8007;PROD;896;90013;;ADD;10;RLT_14
2024;3;80012;8001;PROD;1647;80002;8000;PROD;1826;RLT_14
2024;3;80012;8001;PROD;1647;90014;;ADD;101;RLT_14
2024;3;80002;8000;PROD;1945;70002;;RM;2467;RLT_14
2024;3;80002;8000;PROD;1945;90015;;ADD;67;RLT_14
2024;4;10002;8002;FIN;984;50002;8002;PROD;984;RLT_14
2024;4;50002;8002;PROD;774;80072;8007;PROD;917;RLT_14
2024;4;50002;8002;PROD;774;90010;;ADD;46;RLT_14
2024;4;50002;8002;PROD;774;90011;;ADD;19;RLT_14
2024;4;80072;8007;PROD;859;80012;8001;PROD;3313;RLT_14
2024;4;80072;8007;PROD;859;90012;;ADD;30;RLT_14
2024;4;80072;8007;PROD;859;90013;;ADD;9;RLT_14
2024;4;80012;8001;PROD;1755;80002;8000;PROD;2106;RLT_14
2024;4;80012;8001;PROD;1755;90014;;ADD;107;RLT_14
2024;4;80002;8000;PROD;2023;70002;;RM;2525;RLT_14
2024;4;80002;8000;PROD;2023;90015;;ADD;76;RLT_14
2024;5;10002;8002;FIN;1005;50002;8002;PROD;1005;RLT_14
2024;5;50002;8002;PROD;851;80072;8007;PROD;970;RLT_14
2024;5;50002;8002;PROD;851;90010;;ADD;52;RLT_14
2024;5;50002;8002;PROD;851;90011;;ADD;19;RLT_14
2024;5;80072;8007;PROD;924;80012;8001;PROD;3064;RLT_14
2024;5;80072;8007;PROD;924;90012;;ADD;33;RLT_14
2024;5;80072;8007;PROD;924;90013;;ADD;11;RLT_14
2024;5;80012;8001;PROD;1665;80002;8000;PROD;2127;RLT_14
2024;5;80012;8001;PROD;1665;90014;;ADD;104;RLT_14
2024;5;80002;8000;PROD;2063;70002;;RM;2372;RLT_14
2024;5;80002;8000;PROD;2063;90015;;ADD;73;RLT_14
2024;6;10002;8002;FIN;935;50002;8002;PROD;935;RLT_14
2024;6;50002;8002;PROD;758;80072;8007;PROD;1059;RLT_14
2024;6;50002;8002;PROD;758;90010;;ADD;54;RLT_14
2024;6;50002;8002;PROD;758;90011;;ADD;20;RLT_14
2024;6;80072;8007;PROD;969;80012;8001;PROD;4276;RLT_14
2024;6;80072;8007;PROD;969;90012;;ADD;28;RLT_14
2024;6;80072;8007;PROD;969;90013;;ADD;10;RLT_14
2024;6;80012;8001;PROD;1979;80002;8000;PROD;1944;RLT_14
2024;6;80012;8001;PROD;1979;90014;;ADD;109;RLT_14
2024;6;80002;8000;PROD;1911;70002;;RM;2787;RLT_14
2024;6;80002;8000;PROD;1911;90015;;ADD;72;RLT_14
2024;7;10002;8002;FIN;973;50002;8002;PROD;973;RLT_14
2024;7;50002;8002;PROD;798;80072;8007;PROD;867;RLT_14
2024;7;50002;8002;PROD;798;90010;;ADD;51;RLT_14
2024;7;50002;8002;PROD;798;90011;;ADD;20;RLT_14
2024;7;80072;8007;PROD;855;80012;8001;PROD;3921;RLT_14
2024;7;80072;8007;PROD;855;90012;;ADD;29;RLT_14
2024;7;80072;8007;PROD;855;90013;;ADD;9;RLT_14
2024;7;80012;8001;PROD;1964;80002;8000;PROD;1943;RLT_14
2024;7;80012;8001;PROD;1964;90014;;ADD;94;RLT_14
2024;7;80002;8000;PROD;1865;70002;;RM;2936;RLT_14
2024;7;80002;8000;PROD;1865;90015;;ADD;73;RLT_14
2024;8;10002;8002;FIN;1034;50002;8002;PROD;1034;RLT_14
2024;8;50002;8002;PROD;844;80072;8007;PROD;868;RLT_14
2024;8;50002;8002;PROD;844;90010;;ADD;46;RLT_14
2024;8;50002;8002;PROD;844;90011;;ADD;22;RLT_14
2024;8;80072;8007;PROD;830;80012;8001;PROD;3186;RLT_14
2024;8;80072;8007;PROD;830;90012;;ADD;29;RLT_14
2024;8;80072;8007;PROD;830;90013;;ADD;10;RLT_14
2024;8;80012;8001;PROD;1725;80002;8000;PROD;1904;RLT_14
2024;8;80012;8001;PROD;1725;90014;;ADD;100;RLT_14
2024;8;80002;8000;PROD;1941;70002;;RM;2655;RLT_14
2024;8;80002;8000;PROD;1941;90015;;ADD;64;RLT_14
2024;9;10002;8002;FIN;1040;50002;8002;PROD;1040;RLT_14
2024;9;50002;8002;PROD;720;80072;8007;PROD;982;RLT_14
2024;9;50002;8002;PROD;720;90010;;ADD;52;RLT_14
2024;9;50002;8002;PROD;720;90011;;ADD;21;RLT_14
2024;9;80072;8007;PROD;977;80012;8001;PROD;3226;RLT_14
2024;9;80072;8007;PROD;977;90012;;ADD;29;RLT_14
2024;9;80072;8007;PROD;977;90013;;ADD;9;RLT_14
2024;9;80012;8001;PROD;1679;80002;8000;PROD;1910;RLT_14
2024;9;80012;8001;PROD;1679;90014;;ADD;91;RLT_14
2024;9;80002;8000;PROD;1924;70002;;RM;2434;RLT_14
2024;9;80002;8000;PROD;1924;90015;;ADD;71;RLT_14
2024;10;10002;8002;FIN;949;50002;8002;PROD;949;RLT_14
2024;10;50002;8002;PROD;745;80072;8007;PROD;820;RLT_14
2024;10;50002;8002;PROD;745;90010;;ADD;48;RLT_14
2024;10;50002;8002;PROD;745;90011;;ADD;22;RLT_14
2024;10;80072;8007;PROD;895;80012;8001;PROD;3258;RLT_14
2024;10;80072;8007;PROD;895;90012;;ADD;27;RLT_14
2024;10;80072;8007;PROD;895;90013;;ADD;11;RLT_14
2024;10;80012;8001;PROD;1686;80002;8000;PROD;1847;RLT_14
2024;10;80012;8001;PROD;1686;90014;;ADD;103;RLT_14
2024;10;80002;8000;PROD;1972;70002;;RM;2550;RLT_14
2024;10;80002;8000;PROD;1972;90015;;ADD;64;RLT_14
2024;11;10002;8002;FIN;1069;50002;8002;PROD;1069;RLT_14
2024;11;50002;8002;PROD;766;80072;8007;PROD;880;RLT_14
2024;11;50002;8002;PROD;766;90010;;ADD;49;RLT_14
2024;11;50002;8002;PROD;766;90011;;ADD;22;RLT_14
2024;11;80072;8007;PROD;816;80012;8001;PROD;3251;RLT_14
2024;11;80072;8007;PROD;816;90012;;ADD;32;RLT_14
2024;11;80072;8007;PROD;816;90013;;ADD;11;RLT_14
2024;11;80012;8001;PROD;1709;80002;8000;PROD;1871;RLT_14
2024;11;80012;8001;PROD;1709;90014;;ADD;100;RLT_14
2024;11;80002;8000;PROD;1887;70002;;RM;2766;RLT_14
2024;11;80002;8000;PROD;1887;90015;;ADD;76;RLT_14
2024;12;10002;8002;FIN;957;50002;8002;PROD;957;RLT_14
2024;12;50002;8002;PROD;820;80072;8007;PROD;998;RLT_14
2024;12;50002;8002;PROD;820;90010;;ADD;52;RLT_14
2024;12;50002;8002;PROD;820;90011;;ADD;19;RLT_14
2024;12;80072;8007;PROD;972;80012;8001;PROD;3635;RLT_14
2024;12;80072;8007;PROD;972;90012;;ADD;29;RLT_14
2024;12;80072;8007;PROD;972;90013;;ADD;10;RLT_14
2024;12;80012;8001;PROD;1956;80002;8000;PROD;1909;RLT_14
2024;12;80012;8001;PROD;1956;90014;;ADD;98;RLT_14
2024;12;80002;8000;PROD;1905;70002;;RM;2521;RLT_14
2024;12;80002;8000;PROD;1905;90015;;ADD;63;RLT_14
2024;1;10003;8002;FIN;1030;50003;8002;PROD;1030;RLT_14
2024;1;50003;8002;PROD;819;80073;8007;PROD;976;RLT_14
2024;1;50003;8002;PROD;819;90015;;ADD;54;RLT_14
2024;1;50003;8002;PROD;819;90016;;ADD;21;RLT_14
2024;1;80073;8007;PROD;963;80013;8001;PROD;3475;RLT_14
2024;1;80073;8007;PROD;963;90017;;ADD;28;RLT_14
2024;1;80073;8007;PROD;963;90018;;ADD;10;RLT_14
